Name,Address,City,State,Website,Phone Number,Category,Source
iFix New York,"247, 77th, St, New York, NY, 10075",New York,NY,http://ifixny.com/,+1 212-933-4440,NYC -  Electronics Repair Stores,Circular NYC.kml
M&M Vacuums - ORECK MIELE RICCAR SEBO HOOVER DYSON ELECTROLUX Dealer & Repair Queens NY Store,"71-05, Metropolitan, Ave, Queens, NY, 11379",Queens,NY,http://mmvacuums.wixsite.com/mmvacuums,+1 718-416-1800,NYC -  Electronics Repair Stores,Circular NYC.kml
"B & L Computer Solutions, LLC","2208, 150th, St, Queens, NY, 11357",Queens,NY,http://blcomputersolutions.com/,+1 347-229-3904,NYC -  Electronics Repair Stores,Circular NYC.kml
Certified Appliance Repair Queens,"75-09, Woodhaven, Blvd, Queens, NY, 11385",Queens,NY,https://certified-appliance-repair-queens-appliance-repair-service.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,+1 347-594-2736,NYC -  Electronics Repair Stores,Circular NYC.kml
"PC USA, Inc.","210-07, Horace Harding, Expy, Queens, NY, 11364",Queens,NY,http://www.pcusainc.net/,+1 718-508-2881,NYC -  Electronics Repair Stores,Circular NYC.kml
Conexion WIFI,"95-09, Jamaica, Ave, Jamaica, NY, 11421",Jamaica,NY,https://www.google.com/search?q=Conexion WIFI,+1 918-720-4864,NYC -  Electronics Repair Stores,Circular NYC.kml
Talk N' Fix queens center mall,"90-15, Queens, Blvd, Queens, NY, 11373",Queens,NY,https://www.shopqueenscenter.com/Directory/Details/610031,+1 347-484-5005,NYC -  Electronics Repair Stores,Circular NYC.kml
Fix Phone Training,"97-14, 66th, Ave, Rego Park, NY, 11374",Rego Park,NY,http://www.fixphonetraining.com/,+1 800-765-0869,NYC -  Electronics Repair Stores,Circular NYC.kml
Flushing AC Repair & Handyman Services,"46-10, 104th, St, Queens, NY, 11368",Queens,NY,https://www.google.com/search?q=Flushing AC Repair & Handyman Services,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
Mohsin Digital,"1091, Liberty, Ave, Brooklyn, NY, 11208",Brooklyn,NY,http://www.mohsindigital.com/,+1 718-484-1003,NYC -  Electronics Repair Stores,Circular NYC.kml
Street Talk Queens Center,"90-15, Queens, Blvd, Queens, NY, 11373",Queens,NY,https://streettalkqcm.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,+1 347-484-6657,NYC -  Electronics Repair Stores,Circular NYC.kml
Rawshans electronics,"83-87, 168th, Pl, Queens, NY, 11432",Queens,NY,https://www.google.com/search?q=Rawshans electronics,+1 646-724-6660,NYC -  Electronics Repair Stores,Circular NYC.kml
5 Stars Appliance Repair Jamaica,"171-11, Linden, Blvd, Jamaica, NY, 11434",Jamaica,NY,https://5-stars-appliance-repair-jamaica.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,+1 718-715-1779,NYC -  Electronics Repair Stores,Circular NYC.kml
Maia Systems,"8344, Parsons, Blvd, Queens, NY, 11432",Queens,NY,https://www.google.com/search?q=Maia Systems,+1 718-206-0100,NYC -  Electronics Repair Stores,Circular NYC.kml
Idrivest Repair and Service,"40-45, 68th, St, Queens, NY, 11377",Queens,NY,https://www.google.com/search?q=Idrivest Repair and Service,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
Queens Uline Repair,"3938, Bell, Blvd, Bayside, NY, 11361",Bayside,NY,https://www.google.com/search?q=Queens Uline Repair,+1 718-554-8595,NYC -  Electronics Repair Stores,Circular NYC.kml
Apple Queens Center,"90-15, Queens, Blvd, Queens, NY, 11373",Queens,NY,https://www.apple.com/retail/queenscenter%3Fcid%3Daos-us-seo-maps,+1 718-489-1540,NYC -  Electronics Repair Stores,Circular NYC.kml
Auto Sound & Security Accessories,"137-21, Jamaica, Ave, Queens, NY, 11435",Queens,NY,http://www.autosoundnyc.com/,+1 718-206-1889,NYC -  Electronics Repair Stores,Circular NYC.kml
Kew Gardens Appliance Repair & Service,"125-28, Queens, Blvd, Queens, NY, 11415",Queens,NY,https://queenscountyappliancerepair.com/kew-gardens-ny,+1 929-209-3224,NYC -  Electronics Repair Stores,Circular NYC.kml
Queens Appliance Repair Team,"119-07, Liberty, Ave, South Richmond Hill, NY, 11419",South Richmond Hill,NY,http://www.appliancerepairs-queensny.com/,+1 718-715-1768,NYC -  Electronics Repair Stores,Circular NYC.kml
First Choice Appliance Repair Jamaica,"8443, 164th, St, Queens, NY, 11432",Queens,NY,https://first-choice-appliance-repair-jamaica-appliance-repair-service.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,+1 718-705-4593,NYC -  Electronics Repair Stores,Circular NYC.kml
Thermador Group,"138-50, Queens, Blvd, Queens, NY, 11435",Queens,NY,https://www.google.com/search?q=Thermador Group,+1 917-877-0503,NYC -  Electronics Repair Stores,Circular NYC.kml
Rikhi Ram | Indian Musical Instruments Store & Repair Center in New York,"241-16, 83rd, Ave, Queens, NY, 11426",Queens,NY,https://www.rikhiramusa.com/,+1 347-615-7810,NYC -  Electronics Repair Stores,Circular NYC.kml
Payless Appliance Repair Jamaica,"104-15, Merrick, Blvd, Jamaica, NY, 11433",Jamaica,NY,https://payless-appliance-repair-jamaica.business.site/,+1 718-705-4584,NYC -  Electronics Repair Stores,Circular NYC.kml
Mr. Fixsmith,"655, Manhattan, Ave, Brooklyn, NY, 11222",Brooklyn,NY,https://mrfixsmith.com/electronics-repair-shop-new-york-city,+1 917-717-8174,NYC -  Electronics Repair Stores,Circular NYC.kml
"Cool Wireless Inc.,","212-19, Jamaica, Ave, Jamaica, NY, 11428",Jamaica,NY,"https://www.google.com/search?q=Cool Wireless Inc.,",+1 718-803-8200,NYC -  Electronics Repair Stores,Circular NYC.kml
"National Security & Alarm Installers, Co. Ltd.","13854, 94th, Ave, Queens, NY, 11435",Queens,NY,http://nationalsecurityalarminstallers.com/,+1 718-760-9305,NYC -  Electronics Repair Stores,Circular NYC.kml
D&M Electronics,"133, Fairview, Ave, Staten Island, NY, 10314",Staten Island,NY,https://www.google.com/search?q=D&M Electronics,+1 718-524-9269,NYC -  Electronics Repair Stores,Circular NYC.kml
Smartfix Repairs,"95, Page, Ave, Staten Island, NY, 10309",Staten Island,NY,http://www.phonerepairstatenisland.com/,+1 718-967-3202,NYC -  Electronics Repair Stores,Circular NYC.kml
Lenny phone repair,"2345, Richmond, Ave, Staten Island, NY, 10314",Staten Island,NY,https://www.google.com/search?q=Lenny phone repair,+1 929-229-2228,NYC -  Electronics Repair Stores,Circular NYC.kml
iFixScreens Victory Blvd,"1885, Victory, Blvd, Staten Island, NY, 10314",Staten Island,NY,https://ifixscreens.com/locations/staten-island-ny/%3Futm_source%3DGoogle%2B%26utm_medium%3DOrganic%26utm_campaign%3DGmb%2BVictory%2BBlvd,+1 718-981-8080,NYC -  Electronics Repair Stores,Circular NYC.kml
Staten Island Television and Electronics Review,"1311, Travis, Ave, Staten Island, NY, 10314",Staten Island,NY,https://www.google.com/search?q=Staten Island Television and Electronics Review,+1 732-786-3083,NYC -  Electronics Repair Stores,Circular NYC.kml
TDR - Staten Island ( Drop-off ),"12, Barrett, Ave, Staten Island, NY, 10302",Staten Island,NY,https://techdevice.repair/,+1 888-659-3487,NYC -  Electronics Repair Stores,Circular NYC.kml
HYLAN COMPUTER REPAIR,"436, Armstrong, Ave, Staten Island, NY, 10308",Staten Island,NY,http://www.hylancomputerrepair.com/,+1 718-967-7105,NYC -  Electronics Repair Stores,Circular NYC.kml
Healix Smartphone Repair,"138, New Dorp, Ln, Staten Island, NY, 10306",Staten Island,NY,https://www.healixrepair.com/,+1 718-987-9000,NYC -  Electronics Repair Stores,Circular NYC.kml
Stop N' Fix It,"283, Abingdon, Ave, Staten Island, NY, 10308",Staten Island,NY,http://www.stopnfixit.net/,+1 929-877-9881,NYC -  Electronics Repair Stores,Circular NYC.kml
The Fix,"2655, Richmond, Ave, Staten Island, NY, 10314",Staten Island,NY,https://thefixsolutions.com/,+1 929-288-9572,NYC -  Electronics Repair Stores,Circular NYC.kml
iPhone and laptop screen repair Staten Island,"74, Titus, Ave, Staten Island, NY, 10306",Staten Island,NY,https://www.iphone-repair-ny.com/,+1 646-770-0773,NYC -  Electronics Repair Stores,Circular NYC.kml
AllTech Installations,"462, Wild, Ave, Staten Island, NY, 10314",Staten Island,NY,https://www.google.com/search?q=AllTech Installations,+1 646-944-5400,NYC -  Electronics Repair Stores,Circular NYC.kml
Geek Squad,"2795, Richmond, Ave, Staten Island, NY, 10314",Staten Island,NY,https://stores.bestbuy.com/ny/staten-island/2795-richmond-ave-469/geeksquad.html%3Fref%3DNS%26loc%3Dns100,+1 718-698-7546,NYC -  Electronics Repair Stores,Circular NYC.kml
Professional In Home TV Repair - Staten Island,"4295, Arthur Kill, Rd, Staten Island, NY, 10309",Staten Island,NY,https://www.google.com/search?q=Professional In Home TV Repair - Staten Island,+1 718-568-5076,NYC -  Electronics Repair Stores,Circular NYC.kml
S I Audio,"4212, Hylan, Blvd, Staten Island, NY, 10308",Staten Island,NY,https://www.google.com/search?q=S I Audio,+1 718-608-8889,NYC -  Electronics Repair Stores,Circular NYC.kml
718 iphone Doc (BY APPOINTMENT ONLY),"University, Pl, Staten Island, NY, 10301",Staten Island,NY,http://www.facebook.com/718iphonedoc,+1 718-749-4460,NYC -  Electronics Repair Stores,Circular NYC.kml
Global Information Technology Corporation - GITEC,"160, Park Hill, Ave, Staten Island, NY, 10304",Staten Island,NY,https://www.google.com/search?q=Global Information Technology Corporation - GITEC,+1 646-600-0793,NYC -  Electronics Repair Stores,Circular NYC.kml
vhbeltrano-tech,"801, Manor, Rd, Staten Island, NY, 10314",Staten Island,NY,https://www.google.com/search?q=vhbeltrano-tech,+1 347-690-4599,NYC -  Electronics Repair Stores,Circular NYC.kml
Wired OnSite Inc.,"273, Kell, Ave, Staten Island, NY, 10314",Staten Island,NY,http://www.wiredonsite.com/,+1 646-261-4915,NYC -  Electronics Repair Stores,Circular NYC.kml
"PNG Computers Inc. Computer Sales, Service & Virus Removals","2571, Arthur Kill, Rd, Staten Island, NY, 10309",Staten Island,NY,"https://www.google.com/search?q=PNG Computers Inc. Computer Sales, Service & Virus Removals",+1 718-984-1015,NYC -  Electronics Repair Stores,Circular NYC.kml
P.C. Richard & Son,"2399, Richmond, Ave, Staten Island, NY, 10314",Staten Island,NY,https://www.pcrichard.com/stores/new-york/staten-island/richmond-avenue.html%3Futm_source%3DGoogle-My-Business%26utm_medium%3Dorganic%26utm_campaign%3DGoogle-My-Business,+1 718-494-7600,NYC -  Electronics Repair Stores,Circular NYC.kml
Zener Computer Services Inc,"424, Railroad, Ave, Staten Island, NY, 10304",Staten Island,NY,https://www.google.com/search?q=Zener Computer Services Inc,+1 718-980-1105,NYC -  Electronics Repair Stores,Circular NYC.kml
Hi-Tech Electronic Service Center,"47, Canal, St, New York, NY, 10002",New York,NY,http://www.newhitech.net/,+1 212-219-3794,NYC -  Electronics Repair Stores,Circular NYC.kml
Xtreme Computer Systems,"1825, Forest, Ave, Staten Island, NY, 10303",Staten Island,NY,http://911gadget.com/XtremeHome,+1 718-556-9708,NYC -  Electronics Repair Stores,Circular NYC.kml
Doctor Computers,"132, Ashworth, Ave, Staten Island, NY, 10314",Staten Island,NY,http://www.doctorcomputers.net/,+1 718-477-2113,NYC -  Electronics Repair Stores,Circular NYC.kml
"Computer Hospital of Staten Island - Computer Repair, Laptop Maintenance, Computer Network Installation Staten Island NY","47, New Dorp, Plaza, Staten Island, NY, 10306",Staten Island,NY,https://computerhospitalofstatenisland.com/,+1 917-242-3377,NYC -  Electronics Repair Stores,Circular NYC.kml
Y2K Computer Systems,"4076, Hylan, Blvd, Staten Island, NY, 10308",Staten Island,NY,https://www.google.com/search?q=Y2K Computer Systems,+1 718-605-6940,NYC -  Electronics Repair Stores,Circular NYC.kml
Expert Appliance Repair Staten Island,"4343, Amboy, Rd, Staten Island, NY, 10312",Staten Island,NY,https://statenislandappliancerepairs.com/,+1 718-717-1267,NYC -  Electronics Repair Stores,Circular NYC.kml
The Specialist,"800, Castleton, Ave, Staten Island, NY, 10310",Staten Island,NY,https://specialistnow.com/,+1 347-286-1482,NYC -  Electronics Repair Stores,Circular NYC.kml
Elite Wireless & Electronics,"540, Bay, St, Staten Island, NY, 10304",Staten Island,NY,https://www.google.com/search?q=Elite Wireless & Electronics,+1 718-448-5202,NYC -  Electronics Repair Stores,Circular NYC.kml
AR Wireless USA Inc,"53, Victory, Blvd, Staten Island, NY, 10301",Staten Island,NY,https://www.google.com/search?q=AR Wireless USA Inc,+1 718-981-3107,NYC -  Electronics Repair Stores,Circular NYC.kml
FIX PHONE CITY,"1214B, Forest, Ave, Staten Island, NY, 10310",Staten Island,NY,https://www.google.com/search?q=FIX PHONE CITY,+1 929-327-3211,NYC -  Electronics Repair Stores,Circular NYC.kml
IPsigment,"424, Grandview, Ave, Staten Island, NY, 10303",Staten Island,NY,https://www.google.com/search?q=IPsigment,+1 718-300-6761,NYC -  Electronics Repair Stores,Circular NYC.kml
F1 NYC TECH SERVICES,"519, Broadway, Staten Island, NY, 10310",Staten Island,NY,https://www.google.com/search?q=F1 NYC TECH SERVICES,+1 347-850-2060,NYC -  Electronics Repair Stores,Circular NYC.kml
1st Choice Appliance Repair Staten Island,"2820, Hylan, Blvd, Staten Island, NY, 10306",Staten Island,NY,https://1st-choice-appliance-repair-staten.business.site/,+1 718-532-4038,NYC -  Electronics Repair Stores,Circular NYC.kml
Omega Appliance Repair Staten Island,"5, Poillon, Ave, Staten Island, NY, 10312",Staten Island,NY,https://omega-appliance-repair-staten-island.business.site/,+1 718-532-4126,NYC -  Electronics Repair Stores,Circular NYC.kml
Qualitech Computers,"199, 3rd, St, Staten Island, NY, 10306",Staten Island,NY,https://qualitechcomputers.com/,+1 718-816-0076,NYC -  Electronics Repair Stores,Circular NYC.kml
Clay Pit Appliance Repair Staten Island,"48, Clay Pit, Rd, Staten Island, NY, 10309",Staten Island,NY,http://claypitappliancerepair.com/,+1 718-737-8833,NYC -  Electronics Repair Stores,Circular NYC.kml
PCC Computers,"309, Bradley, Ave, Staten Island, NY, 10314",Staten Island,NY,https://www.google.com/search?q=PCC Computers,+1 718-370-1111,NYC -  Electronics Repair Stores,Circular NYC.kml
Electronic Island Inc.,"164, Port Richmond, Ave, Staten Island, NY, 10302",Staten Island,NY,https://www.google.com/search?q=Electronic Island Inc.,+1 718-816-0808,NYC -  Electronics Repair Stores,Circular NYC.kml
Magnolia,"2795, Richmond, Ave, Staten Island, NY, 10314",Staten Island,NY,https://stores.bestbuy.com/ny/staten-island/2795-richmond-ave-469/magnolia.html/%3Fref%3DNS%26loc%3Dns100,+1 718-698-7546,NYC -  Electronics Repair Stores,Circular NYC.kml
Certified Computer Services Inc,"92, Manor, Rd, Staten Island, NY, 10310",Staten Island,NY,https://www.google.com/search?q=Certified Computer Services Inc,+1 718-876-6903,NYC -  Electronics Repair Stores,Circular NYC.kml
Same Day Appliance Repair,"1243, Father Capodanno, Blvd, Staten Island, NY, 10306",Staten Island,NY,http://www.service-appliancerepair.com/,+1 718-618-5752,NYC -  Electronics Repair Stores,Circular NYC.kml
Appliance Repair Staten Island,"2222, Forest, Ave, Staten Island, NY, 10303",Staten Island,NY,http://www.appliancerepairsstatenisland.com/,+1 718-689-8552,NYC -  Electronics Repair Stores,Circular NYC.kml
1st Class Appliance Repair Staten Island,"20, Ellis, St, Staten Island, NY, 10307",Staten Island,NY,https://1st-class-appliance-repair-staten.business.site/,+1 718-532-4124,NYC -  Electronics Repair Stores,Circular NYC.kml
Focus on Comfort,"51, Anaconda, St, Staten Island, NY, 10312",Staten Island,NY,https://www.google.com/search?q=Focus on Comfort,+1 646-662-0973,NYC -  Electronics Repair Stores,Circular NYC.kml
GS Electronics Inc,"147, Colfax, Ave, Staten Island, NY, 10306",Staten Island,NY,https://www.google.com/search?q=GS Electronics Inc,+1 718-887-2947,NYC -  Electronics Repair Stores,Circular NYC.kml
AMJ Computer Systems,"173, Sandalwood, Dr, Staten Island, NY, 10308",Staten Island,NY,https://www.google.com/search?q=AMJ Computer Systems,+1 718-514-6280,NYC -  Electronics Repair Stores,Circular NYC.kml
Dell Service Center,"1134A, Hylan, Blvd, Staten Island, NY, 10305",Staten Island,NY,https://www.dell.com/,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
Manor Heights Appliance Repair,"955, Manor, Rd, Staten Island, NY, 10314",Staten Island,NY,https://manor-heights-appliance-repair.business.site/,+1 718-285-9454,NYC -  Electronics Repair Stores,Circular NYC.kml
ZAGG Staten Island,"2655, Richmond, Ave, Staten Island, NY, 10314",Staten Island,NY,https://www.zaggfranchise.com/staten-island-ny/,+1 631-923-7159,NYC -  Electronics Repair Stores,Circular NYC.kml
Sears Appliance Repair,"2660, Hylan, Blvd, Staten Island, NY, 10306",Staten Island,NY,https://www.searshomeservices.com/locations/appliance-repair/ny-staten-island/2660-hylan-blvd%3Futm_source%3DGMBlisting%26utm_medium%3Dorganic%26utm_campaign%3DGMBinhomerepair,+1 347-850-0223,NYC -  Electronics Repair Stores,Circular NYC.kml
Hylan Appliance Repair,"1140, Hylan, Blvd, Staten Island, NY, 10305",Staten Island,NY,http://www.appliancerepair-staten-island.com/,+1 347-205-1655,NYC -  Electronics Repair Stores,Circular NYC.kml
Staten Island Appliance Repair Pro,"2449, Veterans, Rd, Staten Island, NY, 10309",Staten Island,NY,https://staten-island-appliance-repair-pro.business.site/,+1 718-532-4120,NYC -  Electronics Repair Stores,Circular NYC.kml
Best Buy,"2795, Richmond, Ave, Staten Island, NY, 10314",Staten Island,NY,https://stores.bestbuy.com/ny/staten-island/2795-richmond-ave-469.html/%3Fref%3DNS%26loc%3Dns100,+1 718-698-7546,NYC -  Electronics Repair Stores,Circular NYC.kml
The Pro Team,"106, Pelican, Cir, Staten Island, NY, 10306",Staten Island,NY,http://theproteamservices.com/,+1 212-476-7740,NYC -  Electronics Repair Stores,Circular NYC.kml
Zee security,"49, Jardine, Ave, Staten Island, NY, 10314",Staten Island,NY,https://www.google.com/search?q=Zee security,+1 646-699-9611,NYC -  Electronics Repair Stores,Circular NYC.kml
Sunnyside Appliance Repair,"1200, Victory, Blvd, Staten Island, NY, 10301",Staten Island,NY,https://sunnyside-appliance-repair-appliance-repair-service.business.site/,+1 718-360-2766,NYC -  Electronics Repair Stores,Circular NYC.kml
Mid Island Appliance Repair,"1837, Victory, Blvd, Staten Island, NY, 10314",Staten Island,NY,https://www.google.com/search?q=Mid Island Appliance Repair,+1 332-258-9807,NYC -  Electronics Repair Stores,Circular NYC.kml
Elm Park Appliance Repair,"364, Port Richmond, Ave, Staten Island, NY, 10302",Staten Island,NY,https://elm-park-appliance-repair.business.site/,+1 718-360-1962,NYC -  Electronics Repair Stores,Circular NYC.kml
Micro Center,"850, 3rd, Ave, Brooklyn, NY, 11232",Brooklyn,NY,https://www.microcenter.com/site/stores/brooklyn.aspx%3Fstoreid%3D115,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
Apple Staten Island,"2655, Richmond, Ave, Staten Island, NY, 10314",Staten Island,NY,https://www.apple.com/retail/statenisland%3Fcid%3Daos-us-seo-maps,+1 718-568-2230,NYC -  Electronics Repair Stores,Circular NYC.kml
Rossville Appliance Repair,"960, Bloomingdale, Rd, Staten Island, NY, 10309",Staten Island,NY,https://rossville-appliance-repair.business.site/,+1 718-532-4106,NYC -  Electronics Repair Stores,Circular NYC.kml
Island Vacuum,"1576, Forest, Ave, Staten Island, NY, 10302",Staten Island,NY,https://www.google.com/search?q=Island Vacuum,+1 718-727-4475,NYC -  Electronics Repair Stores,Circular NYC.kml
Sound Attitude,"4401, Arthur Kill, Rd, Staten Island, NY, 10309",Staten Island,NY,https://www.google.com/search?q=Sound Attitude,+1 718-987-7878,NYC -  Electronics Repair Stores,Circular NYC.kml
Staten Island Appliance Repair Group,"3155, Amboy, Rd, Staten Island, NY, 10306",Staten Island,NY,https://staten-island-appliance-repair-group.business.site/,+1 718-532-4034,NYC -  Electronics Repair Stores,Circular NYC.kml
Vin Paul Guitar Repair & Restoration,"12, Dole, St, Staten Island, NY, 10312",Staten Island,NY,http://www.vinpaulguitars.com/,+1 347-607-8324,NYC -  Electronics Repair Stores,Circular NYC.kml
NY Computer Tech Support,"2282, Forest, Ave, Staten Island, NY, 10303",Staten Island,NY,http://nycomputertechsupport.com/,+1 347-559-8324,NYC -  Electronics Repair Stores,Circular NYC.kml
A&B Miele Appliance Repair,"70, Maine, Ave, Staten Island, NY, 10314",Staten Island,NY,https://1800acrepairs.com/,+1 929-277-5656,NYC -  Electronics Repair Stores,Circular NYC.kml
Joe's PC Repair,"160, Petrus, Ave, Staten Island, NY, 10312",Staten Island,NY,https://www.google.com/search?q=Joe's PC Repair,+1 718-608-5467,NYC -  Electronics Repair Stores,Circular NYC.kml
Global IT Support Computer Repair in New York,"360, New Dorp, Ln, Staten Island, NY, 10306",Staten Island,NY,http://computerrepairinnewyork.globalitsupport.me/,+1 917-438-7005,NYC -  Electronics Repair Stores,Circular NYC.kml
IT Wurks,"1855, Richmond, Ave, Staten Island, NY, 10314",Staten Island,NY,https://itwurks.com/,+1 646-598-7575,NYC -  Electronics Repair Stores,Circular NYC.kml
Ben's Appliance,"500, Armstrong, Ave, Staten Island, NY, 10308",Staten Island,NY,http://www.bensapplianceservice.com/,+1 718-477-1775,NYC -  Electronics Repair Stores,Circular NYC.kml
Fix And GO NY - Cell Phone and Computer Repair,"141, 62nd, St, New York, NY, 10065",New York,NY,https://fixandgony.com/,+1 212-203-7789,NYC -  Electronics Repair Stores,Circular NYC.kml
Staten Island Car Audio,"258, Bancroft, Ave, Staten Island, NY, 10306",Staten Island,NY,https://www.instagram.com/chuchero_world/,+1 917-330-0326,NYC -  Electronics Repair Stores,Circular NYC.kml
Security Camera installation Staten Island - Electricians -Bilco Electric and Datacom,"313, Oldfield, St, Staten Island, NY, 10306",Staten Island,NY,https://bilcoelectric.com/,+1 347-476-6845,NYC -  Electronics Repair Stores,Circular NYC.kml
Washer & Dryer Repair Staten Island,"2561, Hylan, Blvd, Staten Island, NY, 10306",Staten Island,NY,http://appliancedoctorny.com/,+1 929-224-5316,NYC -  Electronics Repair Stores,Circular NYC.kml
Richmond Discount Appliance & Electronics,"6308, Amboy, Rd, Staten Island, NY, 10309",Staten Island,NY,http://www.richmondappliance.com/,+1 718-967-3310,NYC -  Electronics Repair Stores,Circular NYC.kml
Village greens Appliance Repair,"1781, Arthur Kill, Rd, Staten Island, NY, 10312",Staten Island,NY,https://village-greens-appliance-repair.business.site/,+1 718-532-4105,NYC -  Electronics Repair Stores,Circular NYC.kml
Doctor Electronics Repair Service,"8, Kildare, Rd, Island Park, NY, 11558",Island Park,NY,http://www.doctorelectronicsrepairservice.com/,+1 516-724-3290,NYC -  Electronics Repair Stores,Circular NYC.kml
VIP AUTO NYC - CHUCHERO WORLD,"258, Bancroft, Ave, Staten Island, NY, 10306",Staten Island,NY,https://www.facebook.com/VIPAUTONYC,+1 917-330-0326,NYC -  Electronics Repair Stores,Circular NYC.kml
Car Tunes Customs,"157, New Dorp, Ln, Staten Island, NY, 10306",Staten Island,NY,http://cartunescustoms.com/,+1 718-351-8531,NYC -  Electronics Repair Stores,Circular NYC.kml
Microsky MS - NYC Data Recovery Services - Managed IT Services,"900, South, Ave, Staten Island, NY, 10314",Staten Island,NY,https://microskyms.com/,+1 718-672-2177,NYC -  Electronics Repair Stores,Circular NYC.kml
Automotiveaudioinstallation,"4026, Hylan, Blvd, Staten Island, NY, 10308",Staten Island,NY,https://www.google.com/search?q=Automotiveaudioinstallation,+1 917-435-0806,NYC -  Electronics Repair Stores,Circular NYC.kml
Richmond Vacuum & Sewing Center,"3842, Richmond, Ave, Staten Island, NY, 10312",Staten Island,NY,https://www.google.com/search?q=Richmond Vacuum & Sewing Center,+1 718-948-7114,NYC -  Electronics Repair Stores,Circular NYC.kml
Complete Electronic Security,"439, Castleton, Ave, Staten Island, NY, 10301",Staten Island,NY,http://sialarm.com/contact.html,+1 718-948-3200,NYC -  Electronics Repair Stores,Circular NYC.kml
AAA Electronic Services Inc,"218-10, Hillside, Avenue, Queens, NY, 11427",Queens,NY,https://3aservices.net/,+1 718-526-4848,NYC -  Electronics Repair Stores,Circular NYC.kml
Reputation Repair Shop,"170, Moreland, St, Staten Island, NY, 10306",Staten Island,NY,https://reputationrepairshop.com/,+1 754-209-8876,NYC -  Electronics Repair Stores,Circular NYC.kml
Miracle Technologies Inc.,"73, Seguine, Loop, Staten Island, NY, 10309",Staten Island,NY,http://www.miracletechs.com/,+1 646-237-4472,NYC -  Electronics Repair Stores,Circular NYC.kml
Island cooling and heating,"97, Dogwood, Ln, Staten Island, NY, 10305",Staten Island,NY,https://www.google.com/search?q=Island cooling and heating,+1 646-302-9022,NYC -  Electronics Repair Stores,Circular NYC.kml
Stove & Oven Repair,"425, Slater, Blvd, Staten Island, NY, 10305",Staten Island,NY,http://www.stove-ovenrepairnyc.com/,+1 718-928-6645,NYC -  Electronics Repair Stores,Circular NYC.kml
TUSA. TV Repair,"1630, Bath, Ave, Brooklyn, NY, 11214",Brooklyn,NY,https://tvrepairny.com/,+1 347-763-9991,NYC -  Electronics Repair Stores,Circular NYC.kml
Sound Sight & Security,"4307, Amboy, Rd, Staten Island, NY, 10312",Staten Island,NY,http://www.soundsightsecurity.com/,+1 718-967-8900,NYC -  Electronics Repair Stores,Circular NYC.kml
The Kitchen Repairman,"32, Chesterfield, Ln, Staten Island, NY, 10314",Staten Island,NY,http://thekitchenrepairman.com/,+1 718-600-7065,NYC -  Electronics Repair Stores,Circular NYC.kml
Colonial Service Station,"2430, Richmond, Rd, Staten Island, NY, 10306",Staten Island,NY,https://colonialservicestation.com/,+1 718-351-1500,NYC -  Electronics Repair Stores,Circular NYC.kml
Troinet,"1412, Richmond, Rd, Staten Island, NY, 10304",Staten Island,NY,https://www.troinet.com/,+1 718-761-2780,NYC -  Electronics Repair Stores,Circular NYC.kml
RK Plumbing & HVAC Services LLC,"1885, Hylan, Blvd, Staten Island, NY, 10305",Staten Island,NY,https://rkplumbingstatenisland.com/,+1 646-361-5867,NYC -  Electronics Repair Stores,Circular NYC.kml
RR Plumbing Roto-Rooter,"280, Meredith, Ave, Staten Island, NY, 10314",Staten Island,NY,https://www.rotorooter.com/statenislandny/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb%26utm_content%3Dwebsite,+1 718-485-7269,NYC -  Electronics Repair Stores,Circular NYC.kml
Rapid Rooter And Plumbing NY,"90, Cannon, Blvd, Staten Island, NY, 10306",Staten Island,NY,http://rapidrooterny.com/,+1 917-932-6253,NYC -  Electronics Repair Stores,Circular NYC.kml
New York Heating and Air Conditioning,"198, Fairbanks, Ave, Staten Island, NY, 10306",Staten Island,NY,http://www.newyorkheatingsi.com/,+1 718-356-7100,NYC -  Electronics Repair Stores,Circular NYC.kml
All Furniture Repair Couch Disassembly Leather Restoration Mechanisms,"260, Livingston, Ave, Staten Island, NY, 10314",Staten Island,NY,http://www.furnitureservices.com/,+1 646-688-4026,NYC -  Electronics Repair Stores,Circular NYC.kml
Staten Island Plumbing Heating & Air Conditioning,"2550, Richmond, Ave, Staten Island, NY, 10314",Staten Island,NY,https://siplumbing.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGoogle%2520My%2520Business%2520Page,+1 718-966-8600,NYC -  Electronics Repair Stores,Circular NYC.kml
ASM Mechanical,"152, Watchogue, Rd, Staten Island, NY, 10314",Staten Island,NY,https://asmhvacnyc.com/,+1 347-692-4777,NYC -  Electronics Repair Stores,Circular NYC.kml
